	NA	NA	Sp_ds	Sp_hs	Sp_log	Sp_plat	NA	NA
c4802_g1_i1	Q92345	GO:0000287	185.97	1057.35	3644.47	574.41	magnesium ion binding	Full=Probable pyruvate decarboxylase C1F8.07c [Schizosaccharomyces pombe 972h-]
c4189_g1_i2	B8I799	GO:0008752	29.61	13.91	4.67	406.54	FMN reductase activity	Full=FMN-dependent NADH-azoreductase; AltName: Full=Azo-dye reductase; AltName: Full=FMN-dependent NADH-azo compound oxidoreductase [[Clostridium] cellulolyticum H10]
c4955_g1_i1	O60128	GO:0002181	1222.34	2630.18	3051.28	371.90	cytoplasmic translation	Full=40S ribosomal protein S3 [Schizosaccharomyces pombe 972h-]
c4716_g2_i1	O59855	GO:0000166	2187.25	12645.55	3456.67	73.59	nucleotide binding	Full=Probable heat shock protein ssa2 [Schizosaccharomyces pombe 972h-]
c92_g1_i1	O74380	GO:0003674	0.00	0.00	43.83	19.74	molecular_function	Full=Uncharacterized membrane protein C3H7.05c [Schizosaccharomyces pombe 972h-]
c4754_g3_i1	Q9P3U6	GO:0005358	94.19	0.00	5.35	0.00	high-affinity hydrogen:glucose symporter activity	Full=High-affinity glucose transporter ght1; AltName: Full=Hexose transporter 1 [Schizosaccharomyces pombe 972h-]
c2948_g2_i1	P17476	GO:0002182	271.27	1255.70	869.40	32.48	cytoplasmic translational elongation	Full=60S acidic ribosomal protein P1-alpha 1; Short=A1 [Schizosaccharomyces pombe 972h-]
c5940_g1_i1	Q10306	GO:0004108	1406.86	531.82	175.71	2257.48	citrate (Si)-synthase activity	Full=Probable citrate synthase, mitochondrial; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c4945_g1_i1	O60071	GO:0000447	11.44	46.53	126.26	34.43	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	Full=Uncharacterized protein C13G1.09 [Schizosaccharomyces pombe 972h-]
c4637_g1_i1	Q9USG8	GO:0005543	256.63	80.09	13.31	74.69	phospholipid binding	Full=Meiotically up-regulated gene 190 protein [Schizosaccharomyces pombe 972h-]
c4716_g2_i2	Q10265	GO:0000166	952.65	4871.26	592.76	47.82	nucleotide binding	Full=Probable heat shock protein ssa1 [Schizosaccharomyces pombe 972h-]
c6256_g1_i1	Q9Y7N6	GO:0004620	29.26	12.01	9.80	178.97	phospholipase activity	Full=Putative lysophospholipase C1450.09c; AltName: Full=Phospholipase B; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c768_g2_i1	Q9Y7Q3	GO:0003674	23.78	2.91	0.00	41.20	molecular_function	Full=Uncharacterized protein C191.10 [Schizosaccharomyces pombe 972h-]
c1189_g1_i1	Q11118	GO:0005515	733.48	3351.38	810.50	155.54	protein binding	Full=Protein wos2; AltName: Full=p21 [Schizosaccharomyces pombe 972h-]
c5109_g1_i1	O13991	GO:0005634	1049.77	561.52	83.32	316.13	nucleus	Full=Uncharacterized oxidoreductase C26H5.09c [Schizosaccharomyces pombe 972h-]
c6321_g1_i1	P87058	GO:0000166	39.87	250.54	300.38	32.21	nucleotide binding	Full=La protein homolog; AltName: Full=La autoantigen homolog; AltName: Full=La ribonucleoprotein [Schizosaccharomyces pombe 972h-]
c1032_g1_i1	O42842	GO:0003999	38.19	213.23	380.54	13.01	adenine phosphoribosyltransferase activity	Full=Adenine phosphoribosyltransferase; Short=APRT [Schizosaccharomyces pombe 972h-]
c4381_g1_i2	O59759	GO:0004721	21.35	15.59	0.00	46.00	phosphoprotein phosphatase activity	Full=Uncharacterized protein C1020.05; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c956_g1_i1	Q10216	GO:0003857	1151.38	23.46	6.27	1644.86	3-hydroxyacyl-CoA dehydrogenase activity	Full=Uncharacterized oxidoreductase C4H3.08 [Schizosaccharomyces pombe 972h-]
c5960_g1_i1	Q9HDU3	GO:0003824	166.83	31.53	8.48	59.18	catalytic activity	Full=Bifunctional protein gal10; Includes: RecName: Full=UDP-glucose 4-epimerase; AltName: Full=Galactowaldenase; Includes: RecName: Full=Aldose 1-epimerase; AltName: Full=Galactose mutarotase [Schizosaccharomyces pombe 972h-]
c4750_g2_i1	O59932	GO:0005215	525.96	26.39	9.95	29.38	transporter activity	Full=High-affinity hexose transporter ght4; Short=Hexose transporter 4 [Schizosaccharomyces pombe 972h-]
c933_g1_i2	NA	NA	2.69	211.34	1.24	1.67	NA	NA
c4833_g1_i1	O13724	GO:0002181	32.81	1338.20	190.26	28.04	cytoplasmic translation	Full=Zinc finger protein zpr1 [Schizosaccharomyces pombe 972h-]
c4987_g1_i1	Q9P6J6	GO:0004553	17.85	121.65	20.36	8.94	hydrolase activity, hydrolyzing O-glycosyl compounds	Full=Putative beta-glucosidase; AltName: Full=Beta-D-glucoside glucohydrolase; AltName: Full=Cellobiase; AltName: Full=Gentiobiase [Schizosaccharomyces pombe 972h-]
c4446_g2_i1	NA	NA	21.40	111.83	2.53	18.59	NA	NA
c3940_g2_i1	Q9UT24	GO:0000166	5.79	8.09	11.58	0.00	nucleotide binding	Full=Pre-mRNA-splicing factor brr2; AltName: Full=Pre-mRNA-splicing factor spp41; AltName: Full=Pre-mRNA-splicing helicase BRR2 [Schizosaccharomyces pombe 972h-]
c2232_g1_i1	Q09179	GO:0000166	27.36	16.74	344.22	23.70	nucleotide binding	Full=Glutamine synthetase; Short=GS; AltName: Full=Glutamate--ammonia ligase [Schizosaccharomyces pombe 972h-]
c4196_g2_i2	Q10367	GO:0005096	15.45	7.18	0.00	26.91	GTPase activator activity	Full=ADP-ribosylation factor GTPase-activating protein glo3; Short=ARF GAP glo3 [Schizosaccharomyces pombe 972h-]
c4754_g4_i1	Q9P3U7	GO:0005215	176.19	30.36	314.33	391.02	transporter activity	Full=Probable high-affinity hexose transporter ght8, mitochondrial; Short=Hexose transporter 8; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c1678_g1_i1	O74399	GO:0000463	16.47	70.81	139.33	15.47	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	Full=Ribosome biogenesis protein erb1; AltName: Full=Eukaryotic ribosome biogenesis protein 1 [Schizosaccharomyces pombe 972h-]
c1424_g1_i1	P09202	GO:0003824	635.06	13.37	15.43	2282.34	catalytic activity	Full=Fructose-1,6-bisphosphatase; Short=FBPase; AltName: Full=D-fructose-1,6-bisphosphate 1-phosphohydrolase [Schizosaccharomyces pombe 972h-]
c392_g1_i1	Q9P7Q6	GO:0003674	28.59	41.58	3.82	57.46	molecular_function	Full=Meiotically up-regulated gene 51 protein [Schizosaccharomyces pombe 972h-]
c4747_g1_i1	P08093	GO:0002181	189.65	526.52	718.20	50.39	cytoplasmic translation	Full=60S ribosomal protein L2; AltName: Full=K37; AltName: Full=K5; AltName: Full=KD4 [Schizosaccharomyces pombe 972h-]
c330_g1_i1	Q09715	GO:0000122	0.00	9.92	29.03	5.63	negative regulation of transcription from RNA polymerase II promoter	Full=Transcriptional repressor tup11 [Schizosaccharomyces pombe 972h-]
c4533_g4_i1	Q9USV2	GO:0004032	0.00	37.33	15.08	11.41	alditol:NADP+ 1-oxidoreductase activity	Full=Uncharacterized oxidoreductase C28F2.05 [Schizosaccharomyces pombe 972h-]
c4727_g1_i1	Q9C0U6	GO:0000166	64.78	36.31	15.15	161.99	nucleotide binding	Full=Xylulose kinase; Short=Xylulokinase [Schizosaccharomyces pombe 972h-]
c4526_g1_i1	O59814	GO:0003333	263.31	16.02	1.86	175.77	amino acid transmembrane transport	Full=Uncharacterized transporter C794.04c [Schizosaccharomyces pombe 972h-]
c177_g1_i1	Q9UTP0	GO:0002181	82.55	453.10	364.31	4.22	cytoplasmic translation	Full=60S ribosomal protein L30-2 [Schizosaccharomyces pombe 972h-]
c2813_g1_i1	Q9UTH5	GO:0004620	62.64	17.55	245.36	211.44	phospholipase activity	Full=Probable lysophospholipase C1786.02; AltName: Full=Phospholipase B; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c4731_g1_i1	P0C8R3	GO:0003735	418.08	1156.20	849.89	97.37	structural constituent of ribosome	Full=Ubiquitin-40S ribosomal protein S27b; Contains: RecName: Full=Ubiquitin; Contains: RecName: Full=40S ribosomal protein S27b; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c4722_g1_i1	O59768	GO:0000324	0.00	0.00	0.00	50.74	fungal-type vacuole	Full=Vacuolar calcium ion transporter; AltName: Full=Vacuolar Ca(2+)/H(+) exchanger [Schizosaccharomyces pombe 972h-]
c5026_g1_i1	O94629	GO:0003674	52.20	1267.17	86.53	216.30	molecular_function	Full=Stress-responsive protein 1 [Schizosaccharomyces pombe 972h-]
c2758_g2_i1	O13869	GO:0000166	18.80	170.48	43.98	8.80	nucleotide binding	Full=Translation factor guf1, mitochondrial; AltName: Full=Elongation factor 4 homolog; Short=EF-4; AltName: Full=GTPase guf1; AltName: Full=Ribosomal back-translocase; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c3726_g1_i1	P78970	GO:0005783	3.88	0.00	0.00	19.83	endoplasmic reticulum	Full=Sphingosine N-acyltransferase lag1; AltName: Full=Longevity assurance factor 1; AltName: Full=Longevity assurance protein 1 [Schizosaccharomyces pombe 972h-]
c5272_g1_i1	Q9URV9	GO:0000166	12.69	365.12	26.87	2.88	nucleotide binding	Full=Sulfiredoxin [Schizosaccharomyces pombe 972h-]
c2721_g4_i2	P87229	GO:0003674	47.64	32.55	2.29	50.88	molecular_function	Full=Uncharacterized protein C4G3.03 [Schizosaccharomyces pombe 972h-]
c385_g1_i1	Q9P7L8	GO:0000245	10.97	7.81	1.54	38.68	spliceosomal complex assembly	Full=Pre-mRNA-splicing factor sap62; AltName: Full=Spliceosome-associated protein 62 [Schizosaccharomyces pombe 972h-]
c2439_g1_i1	NA	NA	17.00	21.41	349.11	19.20	NA	NA
c5510_g1_i1	O60079	GO:0004221	4.21	52.26	0.00	0.00	ubiquitin thiolesterase activity	Full=Probable ubiquitin carboxyl-terminal hydrolase 12; AltName: Full=Deubiquitinating enzyme 12; AltName: Full=Ubiquitin thioesterase 12; AltName: Full=Ubiquitin-specific-processing protease 12 [Schizosaccharomyces pombe 972h-]
c5037_g1_i1	Q9Y816	GO:0003674	23.35	195.05	10.58	29.25	molecular_function	Full=Uncharacterized protein C1105.13c; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c6492_g1_i1	NA	NA	235.68	844.12	885.50	86.29	NA	NA
c5052_g1_i1	O14069	GO:0002181	626.58	1912.00	2921.57	165.35	cytoplasmic translation	Full=Probable 60S ribosomal protein L28e [Schizosaccharomyces pombe 972h-]
c6023_g1_i1	O13912	GO:0003674	605.35	83.01	26.69	455.30	molecular_function	Full=Uncharacterized protein C23C11.06c [Schizosaccharomyces pombe 972h-]
c937_g1_i1	O74496	GO:0003674	6.11	5.04	3.25	68.72	molecular_function	Full=Coatomer subunit delta; AltName: Full=Delta-coat protein; Short=Delta-COP [Schizosaccharomyces pombe 972h-]
c4648_g1_i1	O13857	GO:0004620	41.63	6.69	3.57	46.17	phospholipase activity	Full=Putative lysophospholipase C1A6.03c; AltName: Full=Phospholipase B; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c1233_g1_i1	Q9UT59	GO:0003824	36.36	236.29	46.56	14.23	catalytic activity	Full=Putative uncharacterized oxidoreductase C513.07 [Schizosaccharomyces pombe 972h-]
c2623_g2_i1	Q9P6M2	GO:0003674	76.90	20.05	3.26	131.39	molecular_function	Full=Uncharacterized protein C688.03c [Schizosaccharomyces pombe 972h-]
c1103_g1_i1	Q9P6I8	GO:0005794	65.39	12.21	10.04	249.56	Golgi apparatus	Full=Zinc-type alcohol dehydrogenase-like protein C1198.01 [Schizosaccharomyces pombe 972h-]
c4336_g1_i1	O13784	GO:0000166	531.87	1535.45	1158.99	171.40	nucleotide binding	Full=40S ribosomal protein S24-A [Schizosaccharomyces pombe 972h-]
c4689_g1_i1	O42665	GO:0003674	2496.22	1208.94	39.97	1603.18	molecular_function	Full=Uncharacterized but2-like protein C27D7.11c; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c1811_g1_i1	Q9C0W5	GO:0003674	163.70	45.02	20.76	353.78	molecular_function	Full=Uncharacterized mitochondrial membrane protein C800.14c [Schizosaccharomyces pombe 972h-]
c1909_g1_i1	Q09713	GO:0003723	7.58	56.02	54.19	0.00	RNA binding	Full=Uncharacterized protein C18B11.06 [Schizosaccharomyces pombe 972h-]
c2110_g1_i1	O60136	GO:0003674	50.95	16.42	8.58	86.63	molecular_function	Full=Uncharacterized WD repeat-containing protein C18H10.05 [Schizosaccharomyces pombe 972h-]
c4688_g1_i1	Q9HDW7	GO:0000166	84.94	57.93	19.70	154.48	nucleotide binding	Full=Calcium-transporting ATPase 2 [Schizosaccharomyces pombe 972h-]
c2464_g1_i2	O94599	GO:0000139	52.15	24.39	11.59	120.97	Golgi membrane	Full=LIMR family protein C622.11 [Schizosaccharomyces pombe 972h-]
c2314_g1_i1	Q9UUG1	GO:0003723	12.22	66.32	159.30	16.05	RNA binding	Full=Ribosome production factor 2 homolog; AltName: Full=Brix domain-containing protein 1 homolog; AltName: Full=Ribosome biogenesis protein RPF2 homolog [Schizosaccharomyces pombe 972h-]
c4395_g1_i3	O74333	GO:0000139	97.55	17.40	0.00	6.31	Golgi membrane	Full=Non-classical export protein 2 homolog [Schizosaccharomyces pombe 972h-]
c6165_g1_i1	Q09100	GO:0000166	2.38	14.51	76.35	6.48	nucleotide binding	Full=RNA-binding protein rnp24 [Schizosaccharomyces pombe 972h-]
c6010_g1_i1	O60143	GO:0002181	1060.29	3147.71	2910.37	269.65	cytoplasmic translation	Full=60S ribosomal protein L7-C [Schizosaccharomyces pombe 972h-]
c4756_g2_i1	P0CT34	GO:0003676	13.96	212.06	52.48	41.97	nucleic acid binding	Full=Transposon Tf2-1 polyprotein; AltName: Full=Retrotransposable element Tf2 155 kDa protein [Schizosaccharomyces pombe 972h-]
c5834_g1_i1	P40387	GO:0003824	925.70	1760.39	114.18	264.24	catalytic activity	Full=Alpha,alpha-trehalose-phosphate synthase [UDP-forming]; AltName: Full=Trehalose-6-phosphate synthase; AltName: Full=UDP-glucose-glucosephosphate glucosyltransferase [Schizosaccharomyces pombe 972h-]
c5152_g1_i1	O14062	GO:0002181	487.70	2200.08	1634.91	153.48	cytoplasmic translation	Full=40S ribosomal protein S12-A [Schizosaccharomyces pombe 972h-]
c4438_g1_i2	NA	NA	4.15	8.64	5.25	78.37	NA	NA
c1541_g1_i1	NA	NA	82.55	6.20	1.10	407.14	NA	NA
c14_g1_i2	Q09889	GO:0005509	2.36	5.25	0.00	185.25	calcium ion binding	Full=Arrestin domain-containing protein C584.15c [Schizosaccharomyces pombe 972h-]
c3710_g1_i1	Q09920	GO:0004322	8.79	6.45	331.50	3.12	ferroxidase activity	Full=Iron transport multicopper oxidase fio1; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c5084_g1_i1	Q9USP8	GO:0000287	462.23	170.65	82.65	1343.03	magnesium ion binding	Full=Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial; AltName: Full=Isocitric dehydrogenase; AltName: Full=NAD(+)-specific ICDH; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c2268_g1_i2	P87157	GO:0003674	12.43	11.87	3.23	77.00	molecular_function	Full=Probable ADP-ribosylation factor-binding protein C25H2.16c [Schizosaccharomyces pombe 972h-]
c5038_g1_i1	NA	NA	835.97	6594.79	178.12	1313.01	NA	NA
c5928_g1_i1	NA	NA	8785.03	11720.86	291.58	17505.61	NA	NA
c2086_g1_i2	Q9URT2	GO:0000347	8.17	0.00	17.47	15.98	THO complex	Full=Uncharacterized protein P25A2.03 [Schizosaccharomyces pombe 972h-]
c2982_g1_i1	O13780	GO:0004012	83.04	14.87	47.95	156.84	phospholipid-translocating ATPase activity	Full=Uncharacterized protein C17G6.02c [Schizosaccharomyces pombe 972h-]
